emotion_quadrant,music_name,avg_note_velocity,std_note_velocity,total_midi_events,num_note_on_events,pitch_range,min_note_pitch
Q1 Q2 Q3 Q4,string,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,,,,,,
Q1,Q1_0vLPYiPN7qY_0,31.8728,33.3239,366,338,55,36
Q1,Q1_0vLPYiPN7qY_1,25.4192,26.3662,898,842,43,36
Q1,Q1_0vLPYiPN7qY_2,30.8186,32.3385,770,700,57,29
Q1,Q1_1Qc15G0ZHIg_2,36.7859,37.5463,784,696,48,28
Q1,Q1_1Qc15G0ZHIg_3,39.63,40.3054,592,546,50,33
Q1,Q1_1vjy9oMFa8c_2,34.6089,36.2301,398,358,52,27
Q1,Q1_1vjy9oMFa8c_4,39.9423,40.6584,304,260,55,27
Q1,Q1_1vjy9oMFa8c_5,39.1349,40.1643,978,882,67,24
Q1,Q1_2Z9SjI131jA_0,30.8979,31.5103,650,578,34,45
Q1,Q1_2Z9SjI131jA_1,30.5,31.4749,472,446,50,41
Q1,Q1_2Z9SjI131jA_10,34.4437,34.7862,320,284,49,38
Q1,Q1_2Z9SjI131jA_11,32.3812,35.3504,454,362,52,43
Q1,Q1_2Z9SjI131jA_12,29.4416,30.3961,580,548,50,36
Q1,Q1_2Z9SjI131jA_13,36.9076,37.632,618,498,50,45
Q1,Q1_2Z9SjI131jA_15,37.3716,37.7913,356,296,59,40
Q1,Q1_2Z9SjI131jA_2,35.6817,36.6917,646,578,60,41
Q1,Q1_2Z9SjI131jA_3,32.65,33.6823,382,320,36,41
Q1,Q1_2Z9SjI131jA_4,34.3425,35.2903,516,438,48,36
Q1,Q1_2Z9SjI131jA_7,33.7336,34.2294,480,458,53,38
Q1,Q1_2Z9SjI131jA_8,34.9133,35.415,510,450,49,45
Q1,Q1_2Z9SjI131jA_9,30.6243,32.1325,444,370,43,43
Q1,Q1_3N2G21U7guk_3,37.1199,37.924,840,792,55,29
Q1,Q1_3N2G21U7guk_5,38.7203,39.726,566,522,40,35
Q1,Q1_3ahg_eQZhxs_0,42.7978,43.8246,718,648,60,24
Q1,Q1_3ahg_eQZhxs_1,43.4859,44.7607,548,498,68,26
Q1,Q1_4dXC1cC7crw_0,38.245,39.4889,596,502,51,32
Q1,Q1_5NW0zDu6IYM_2,43.9243,44.4528,1482,1400,64,27
Q1,Q1_60LLKmpgzRM_0,21.1058,23.7376,132,104,55,29
Q1,Q1_6Uf9XBUD3wE_0,35.6433,36.3008,410,356,56,30
Q1,Q1_6Uf9XBUD3wE_1,31.3183,32.4196,1226,1156,67,28
Q1,Q1_6wFJhmhNeeg_0,48.0653,48.5494,1324,1226,51,30
Q1,Q1_7yW9c7t8Hq0_1,43.7619,44.5467,934,840,62,29
Q1,Q1_7yW9c7t8Hq0_3,44.6807,45.513,1074,974,62,29
Q1,Q1_8rupdevqfuI_2,34.3333,35.914,426,396,53,34
Q1,Q1_94ROf10d1iA_0,35.9256,37.269,292,242,50,42
Q1,Q1_94ROf10d1iA_1,36.1242,37.0498,374,314,43,47
Q1,Q1_94ROf10d1iA_2,36.6909,37.2748,156,110,34,39
Q1,Q1_94ROf10d1iA_3,40.8781,41.5463,666,566,55,37
Q1,Q1_9Yb9OEVwups_0,33.9688,35.0457,438,384,40,31
Q1,Q1_9v2WSpn4FCw_1,45.2247,46.0724,336,316,58,26
Q1,Q1_9v2WSpn4FCw_5,44.9382,45.9087,426,372,51,29
Q1,Q1_9v2WSpn4FCw_6,40.568,41.4398,458,412,57,24
Q1,Q1_ANZf1QXsNrY_0,41.1882,42.2856,562,510,75,26
Q1,Q1_ANZf1QXsNrY_3,40.222,41.18,612,572,74,24
Q1,Q1_BGf5nCdzPOc_0,37.4868,38.0501,1136,1062,45,38
Q1,Q1_Cg2u_Ldjv8g_0,24.9468,25.9925,578,526,50,41
Q1,Q1_Cg2u_Ldjv8g_1,27.0216,28.6452,686,602,43,41
Q1,Q1_Fc1qk52SaKY_0,31.5405,32.8546,746,692,57,25
Q1,Q1_Fc1qk52SaKY_1,34.4391,35.3821,700,640,58,27
Q1,Q1_FfwKrQyQ7WU_0,28.2212,29.6068,612,556,40,31
Q1,Q1_FfwKrQyQ7WU_1,32.5936,33.4605,550,502,47,31
Q1,Q1_FfwKrQyQ7WU_2,36.6281,37.1737,452,406,47,31
Q1,Q1_FfwKrQyQ7WU_3,34.9518,35.8216,520,456,47,31
Q1,Q1_GY3f6ckBVkA_0,39.3739,40.4403,440,436,39,61
Q1,Q1_GbUV3TXUzeQ_1,39.5899,40.1444,686,634,69,25
Q1,Q1_GbUV3TXUzeQ_2,36.7394,37.7967,912,852,58,25
Q1,Q1_HY9vPoHbgaI_0,33.3193,34.4506,390,332,43,38
Q1,Q1_HY9vPoHbgaI_2,35.5867,36.6682,518,450,43,41
Q1,Q1_HY9vPoHbgaI_3,35.9571,36.8154,314,280,41,41
Q1,Q1_IH2KrGjKXw0_3,29.0497,30.7254,1078,1006,43,37
Q1,Q1_Ie5koh4qvJc_12,28.1868,29.4573,1794,1756,65,38
Q1,Q1_Ie5koh4qvJc_6,28.2315,30.4604,908,812,72,28
Q1,Q1_J6X3rVU1H-c_2,46.598,47.3595,840,786,60,25
Q1,Q1_JT1XJnVmABo_2,42.4068,43.0183,772,730,75,24
Q1,Q1_JT1XJnVmABo_3,37.1025,38.1662,266,244,49,44
Q1,Q1_JT1XJnVmABo_4,32.4126,33.5887,438,412,41,42
Q1,Q1_JYVXM0qNQAg_0,32.6381,33.2783,546,478,45,36
Q1,Q1_JYVXM0qNQAg_2,35.1992,35.672,538,472,53,40
Q1,Q1_K6OFDxBU370_0,31.3693,32.2988,482,436,52,30
Q1,Q1_KxlqB3j0zys_0,30.9588,32.3554,378,340,48,39
Q1,Q1_KxlqB3j0zys_1,30.6066,32.3001,306,272,47,38
Q1,Q1_NGE9ynTJABg_0,42.1747,43.8997,1016,990,71,26
Q1,Q1_NGE9ynTJABg_2,47.676,48.4338,590,534,62,26
Q1,Q1_NP0lwB-_-og_1,37.0925,37.8393,850,800,48,40
Q1,Q1_POaIGvLsp5M_0,35.3663,35.9589,410,344,38,43
Q1,Q1_POaIGvLsp5M_1,37.5979,38.0332,448,378,31,54
Q1,Q1_PdwxeMPXOCk_0,38.4151,39.0607,846,742,43,34
Q1,Q1_QwsQ8ejbMKg_0,40.1589,41.0489,898,818,61,25
Q1,Q1_RaUSISlnhKw_0,31.0064,32.8002,484,466,64,24
Q1,Q1_RaUSISlnhKw_2,38.4803,39.4113,820,762,72,24
Q1,Q1_SQDuF0qxGQw_2,47.323,47.8899,750,678,79,25
Q1,Q1_SlsXsqotUis_0,45.6814,46.4255,940,904,76,24
Q1,Q1_TNoaOTrTkTQ_1,32.613,33.4711,556,522,58,33
Q1,Q1_TNoaOTrTkTQ_2,34.3973,35.02,438,370,41,43
Q1,Q1_UJcnNfeCN1c_2,34.6379,35.2322,384,348,53,46
Q1,Q1_UJcnNfeCN1c_3,33.9733,34.5193,298,262,36,42
Q1,Q1_UOSlDydo94E_0,36.9389,38.109,482,442,28,36
Q1,Q1_UOSlDydo94E_2,45.0644,46.1177,658,606,72,24
Q1,Q1_UYh88SRZC24_1,44.5841,45.1105,892,856,80,25
Q1,Q1_V3Y9L4UOcpk_2,39.9384,40.8754,734,666,55,30
Q1,Q1_VXgRfsVd_o0_0,40.0682,41.244,334,308,69,31
Q1,Q1_WpZ1rWHOCAQ_2,39.7783,40.2731,666,600,62,26
Q1,Q1_Wy2-my19YnY_0,46.8024,47.2482,616,572,67,26
Q1,Q1_Wy2-my19YnY_1,47.2638,47.7856,650,614,61,25
Q1,Q1_XC_SiJszQx0_3,36.5973,37.3537,826,750,53,29
Q1,Q1_Xsn9zT-05ns_0,41.6253,42.471,826,774,72,24
Q1,Q1_Xsn9zT-05ns_1,45.0693,45.7346,1010,938,79,24
Q1,Q1_Y5JcZQ0xg4Y_0,35.6696,36.2102,242,224,31,53
Q1,Q1_ZgT7yq2jsBk_0,33.6513,34.3745,680,628,67,28
Q1,Q1__BK2o77sTc0_0,30.884,31.3059,582,526,60,38
Q1,Q1__BK2o77sTc0_1,29.913,30.5657,546,506,41,47
