emotion_quadrant,music_name,SVM,Random Forest,Neural Network,SVM (Q1),SVM (Q2),SVM (Q3),SVM (Q4),Random Forest (Q1),Random Forest (Q2),Random Forest (Q3),Random Forest (Q4),Neural Network (Q1),Neural Network (Q2),Neural Network (Q3),Neural Network (Q4),Fold,total_midi_events,duration,num_unique_tracks,num_unique_channels,avg_note_pitch,std_note_pitch,min_note_pitch,max_note_pitch,pitch_range,avg_note_velocity,std_note_velocity,num_note_on_events,num_note_off_events,num_set_tempo_events
Q1 Q2 Q3 Q4,string,Q1 Q2 Q3 Q4,Q1 Q2 Q3 Q4,Q1 Q2 Q3 Q4,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,continuous,continuous,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,continuous
class,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,
Q4,Q4_pzeHffxmdcE_0,Q4,Q4,Q4,0.0205669,0.0224058,0.270981,0.686046,0,0.05,0.15,0.8,0.00526821,0.0152625,0.40651,0.572959,1,632,47.9414,2,1,57.9739,10.3896,31,79,48,23.347,25.0017,536,0,1
Q1,Q1_k4dxAlI5N-k_0,Q2,Q2,Q2,0.402956,0.578669,0.009947,0.0084287,0.191667,0.808333,0,0,0.268961,0.728291,0.00250984,0.000237508,1,1128,49.9922,2,1,59.8263,16.083,30,99,69,39.8435,40.5293,1048,0,1
Q4,Q4_E5qEloUO3SM_0,Q4,Q4,Q3,0.00975725,0.0160144,0.387567,0.586662,0.025,0.0333333,0.1,0.841667,6.00493e-05,0.00239293,0.588614,0.408933,1,508,49.9922,2,1,54.3482,10.2999,26,76,50,17.6027,19.1328,448,0,1
Q3,Q3_Oku8sIpTMAE_1,Q4,Q3,Q3,0.00853066,0.0224597,0.405489,0.563521,0,0,0.775,0.225,2.82707e-06,0.000663346,0.752326,0.247008,1,122,39.9023,2,1,72.3929,7.93369,49,86,37,22.8125,25.4238,112,0,1
Q4,Q4_jSWItJI-Gmk_1,Q4,Q4,Q4,0.00433998,0.0122563,0.20301,0.780394,0,0,0.353333,0.646667,0.000414967,0.0188025,0.331898,0.648884,1,392,49.9922,2,1,60.0419,10.7911,29,84,55,24.3503,26.7762,334,0,1
Q2,Q2_5NW0zDu6IYM_1,Q1,Q1,Q1,0.530152,0.464341,0.00234104,0.0031664,0.5,0.466667,0.0166667,0.0166667,0.66681,0.328867,0.00137247,0.00295078,1,700,29.9922,2,1,61.1407,12.25,34,85,51,43.7768,44.3373,654,0,1
Q4,Q4_Ie5koh4qvJc_17,Q4,Q4,Q4,0.00801983,0.0103973,0.19693,0.784653,0.045,0,0.113333,0.841667,0.00274872,0.00794552,0.269961,0.719344,1,280,37.4115,2,1,65.6529,10.3881,42,84,42,27.3017,29.0577,242,0,1
Q4,Q4_Xlv4PPGrRRs_0,Q4,Q4,Q4,0.00644422,0.025225,0.225092,0.743239,0,0.0333333,0.133333,0.833333,4.88233e-05,0.0270602,0.2501,0.722791,1,342,56.9323,2,1,57.3767,8.21209,37,78,41,25.6575,27.1156,292,0,1
Q1,Q1_im4Qxn3GQvo_2,Q1,Q1,Q2,0.394768,0.423724,0.139051,0.0424572,0.77,0.21,0.02,0,0.196374,0.552961,0.24008,0.0105844,1,642,39.9922,2,1,60.6548,17.2052,30,100,70,35.8612,37.1145,562,0,1
Q3,Q3_kopwU6zpS4k_0,Q4,Q3,Q3,0.0365326,0.086189,0.215818,0.66146,0.253333,0.1,0.366667,0.28,0.00496953,0.0971027,0.45311,0.444818,1,268,39.9922,2,1,62.8144,11.8044,33,81,48,31.6701,32.8787,194,0,1
Q2,Q2_fuCxYrru2S4_1,Q1,Q3,Q2,0.370965,0.287762,0.200031,0.141242,0.245,0.06,0.425,0.27,0.21434,0.419986,0.306342,0.0593315,1,554,39.4414,2,1,52.8838,12.8067,26,81,55,29.9647,32.3646,482,0,1
Q4,Q4_jCLgDtk695I_0,Q4,Q4,Q4,0.0273266,0.0260789,0.201088,0.745506,0,0,0.0666667,0.933333,0.0486494,0.0119074,0.119355,0.820088,1,276,29.9922,2,1,59.7323,7.58347,44,78,34,27.6693,29.1561,254,0,1
